,date,open,high,low,close
1244,2019-06-21,138.440002,139.53999299999998,138.389999,136.31336975097656
1245,2019-06-24,139.199997,140.149994,139.050003,137.1251983642578
1246,2019-06-25,139.46000700000002,139.550003,138.130005,137.96670532226562
1247,2019-06-26,138.869995,139.679993,138.41000400000001,138.5221710205078
1248,2019-06-27,138.720001,139.300003,137.949997,138.73085021972656
1249,2019-06-28,138.570007,139.139999,137.83999599999999,138.7488250732422
1250,2019-07-01,139.600006,141.490005,139.279999,138.52137756347656
1251,2019-07-02,139.75,140.429993,139.470001,138.48744201660156
1252,2019-07-03,140.720001,141.820007,140.429993,138.73345947265625
1253,2019-07-05,140.869995,141.490005,139.91000400000001,139.309326171875
1254,2019-07-08,141.050003,141.28999299999998,140.270004,140.02259826660156
1255,2019-07-09,140.610001,140.990005,139.130005,140.5144805908203
1256,2019-07-10,140.0,141.91000400000001,139.78999299999998,140.5502471923828
1257,2019-07-11,140.78999299999998,141.580002,140.300003,140.41799926757812
1258,2019-07-12,141.919998,142.919998,141.66000400000001,140.3986358642578
1259,2019-07-15,142.889999,143.509995,142.119995,140.71759033203125
1260,2019-07-16,143.169998,144.03999299999998,143.020004,141.2856903076172
1261,2019-07-17,143.610001,143.800003,141.949997,142.0204620361328
1262,2019-07-18,142.5,150.309998,142.199997,142.5936737060547
1263,2019-07-19,149.96000700000002,151.580002,149.550003,144.0772247314453
1264,2019-07-22,150.16000400000001,151.940002,149.699997,145.98370361328125
1265,2019-07-23,150.570007,150.720001,148.380005,147.76495361328125
1266,2019-07-24,150.119995,151.449997,149.199997,149.16983032226562
1267,2019-07-25,149.820007,150.619995,148.610001,150.0644073486328
1268,2019-07-26,151.0,151.41000400000001,150.100006,150.5216827392578
1269,2019-07-29,151.110001,151.479996,150.320007,150.8536376953125
1270,2019-07-30,150.0,150.399994,149.220001,150.9610595703125
1271,2019-07-31,149.699997,150.179993,146.389999,150.6724395751953
1272,2019-08-01,148.899994,152.820007,148.5,149.848388671875
1273,2019-08-02,149.029999,152.949997,145.58999599999999,149.51229858398438
1274,2019-08-05,144.979996,145.100006,139.149994,148.83831787109375
1275,2019-08-06,142.029999,142.470001,139.309998,146.85633850097656
1276,2019-08-07,138.740005,139.580002,136.41000400000001,144.42642211914062
1277,2019-08-08,138.449997,140.419998,137.759995,141.96304321289062
1278,2019-08-09,139.270004,139.309998,135.350006,140.17030334472656
1279,2019-08-12,135.66000400000001,135.869995,133.179993,138.54222106933594
1280,2019-08-13,133.800003,136.570007,132.809998,136.8140869140625
1281,2019-08-14,133.91000400000001,134.16000400000001,130.979996,135.5964813232422
1282,2019-08-15,131.220001,132.369995,130.25,134.26507568359375
1283,2019-08-16,133.03999299999998,134.58999599999999,132.949997,133.24981689453125
1284,2019-08-19,134.880005,136.330002,134.880005,132.7248992919922
1285,2019-08-20,135.240005,135.279999,132.809998,132.67539978027344
1286,2019-08-21,134.96000700000002,135.940002,133.800003,132.8254852294922
1287,2019-08-22,134.690002,135.679993,133.809998,133.1282958984375
1288,2019-08-23,133.630005,134.259995,128.830002,133.5673065185547
1289,2019-08-26,131.050003,131.300003,129.16000400000001,133.20440673828125
1290,2019-08-27,131.199997,131.699997,130.309998,132.37020874023438
1291,2019-08-28,130.440002,132.889999,130.03999299999998,131.69223022460938
1292,2019-08-29,134.179993,135.690002,134.03999299999998,131.30519104003906
1293,2019-08-30,135.580002,136.070007,134.360001,131.61480712890625
1294,2019-09-03,134.850006,134.899994,133.330002,132.48606872558594
1295,2019-09-04,135.71000700000002,136.429993,135.149994,133.36000061035156
1296,2019-09-05,138.300003,141.699997,138.050003,134.2456817626953
1297,2019-09-06,141.520004,141.529999,140.46000700000002,135.78103637695312
1298,2019-09-09,140.58999599999999,143.020004,140.46000700000002,137.51319885253906
1299,2019-09-10,143.0,145.46000700000002,142.96000700000002,139.21029663085938
1300,2019-09-11,144.850006,145.119995,142.71000700000002,141.09783935546875
1301,2019-09-12,144.029999,144.03999299999998,141.880005,142.60360717773438
